Transaction_ID,Date,Brand_Name,Product_Category,Region,Sales_Channel,Units_Sold,Unit_Price,Revenue,Cost,Profit
TXN-167,12/31/2024,Indommee,Snack,Ibadan,Online,196,900,176400,1000,175400
TXN-8513,5/22/2024,Pepsico,Dairy,Port Harcourt,Online,14,542,7588,6755,833
TXN-6126,10/23/2024,P&G,Beverage,Benin City,Online,69,932,64308,6374,57934
TXN-5478,4/4/2024,Dangote,Beverage,Abuja,Retail Store,138,644,88872,7162,81710
TXN-3984,5/20/2024,Colgate,Grocery,Enugu,Ecom,104,796,82784,1000,81784
TXN-4997,8/21/2024,P&G,Household,Enugu,Online,3000,834,2502000,2000,2500000
TXN-8914,10/29/2024,Pepsico,Snack,Enugu,Retail Store,213,107,22791,1000,21791
TXN-2363,7/11/2024,Reckit,Snack,Port Harcourt,Distributor,204,801,163404,5067,158337
TXN-5791,12/9/2024,Reckit,Dairy,Benin City,Ecom,88,626,55088,2000,53088
TXN-1063,11/10/2024,Dangote,Household,Jos,Distributor,224,418,93632,1000,92632
TXN-3230,8/3/2024,P&G,Beverage,Kano,Retail Store,1000,355,355000,0,355000
TXN-3407,1/16/2024,Dangote,Beverage,Enugu,Distributor,113,423,47799,5288,42511
TXN-726,4/19/2024,Colgate,Dairy,Kano,Wholesaler,112,501,56112,0,56112
TXN-4167,8/4/2024,Dangote,Dairy,Jos,Distributor,149,338,50362,936,49426
TXN-5544,8/28/2024,P&G,Snack,Benin City,Ecom,1000,459,459000,921,458079
TXN-7711,10/11/2024,Nestlee,Toiletry,Benin City,Distributor,0,693,0,4836,-4836
TXN-6351,10/22/2024,Colgate,Beverage,Enugu,Retail Store,2000,430,860000,1931,858069
TXN-1155,12/8/2024,Unilvr,Household,Lagos,Distributor,199,960,191040,5547,185493
TXN-898,8/26/2024,Pepsico,Household,Lagos,Distributor,2000,834,1668000,0,1668000
TXN-9262,8/22/2024,Nestlee,Toiletry,Abuja,Distributor,3000,104,312000,2346,309654
TXN-3114,2/24/2024,Coca Cola,Toiletry,Enugu,Retail Store,3000,173,519000,2000,517000
TXN-8845,3/10/2024,Unilvr,Snack,Ibadan,Online,1000,189,189000,0,189000
TXN-8332,1/9/2024,Pepsico,Personal Care,Benin City,Ecom,0,771,0,3351,-3351
TXN-6633,4/19/2024,Reckit,Grocery,Benin City,Distributor,0,864,0,0,0
TXN-4695,11/23/2024,Unilvr,Personal Care,Kano,Retail Store,0,413,0,1916,-1916
TXN-6599,10/16/2024,Coca Cola,Snack,Port Harcourt,Ecom,3000,663,1989000,7815,1981185
TXN-3072,10/6/2024,Nestlee,Toiletry,Benin City,Distributor,140,200,28000,7543,20457
TXN-8796,8/15/2024,Nestlee,Household,Port Harcourt,Wholesaler,1000,832,832000,2000,830000
TXN-80,11/11/2024,Unilvr,Personal Care,Kano,Wholesaler,1000,549,549000,0,549000
TXN-2688,3/23/2024,Unilvr,Snack,Benin City,Online,75,962,72150,6828,65322
TXN-1430,9/11/2024,Dangote,Household,Kano,Ecom,3000,833,2499000,2132,2496868
TXN-5766,2/27/2024,Indommee,Dairy,Kano,Online,290,332,96280,2000,94280
TXN-2968,6/22/2024,Dangote,Beverage,Jos,Distributor,202,411,83022,1000,82022
TXN-9094,2/2/2024,Reckit,Beverage,Abuja,Distributor,33,940,31020,7547,23473
TXN-2278,8/17/2024,P&G,Household,Enugu,Retail Store,1000,243,243000,1000,242000
TXN-297,2/8/2024,Indommee,Toiletry,Port Harcourt,Online,74,387,28638,2000,26638
TXN-3894,9/5/2024,Colgate,Household,Lagos,Online,58,366,21228,7772,13456
TXN-6818,11/8/2024,Dangote,Grocery,Jos,Online,1000,595,595000,820,594180
TXN-5054,5/6/2024,Unilvr,Grocery,Benin City,Online,2000,704,1408000,1876,1406124
TXN-7513,12/23/2024,Colgate,Household,Ibadan,Online,2000,673,1346000,2000,1344000
TXN-3507,9/9/2024,Coca Cola,Grocery,Jos,Online,0,502,0,4900,-4900
TXN-7292,11/1/2024,Colgate,Snack,Enugu,Online,254,635,161290,1855,159435
TXN-1454,12/10/2024,Unilvr,Personal Care,Ibadan,Wholesaler,184,301,55384,3000,52384
TXN-9779,10/29/2024,Dangote,Grocery,Enugu,Retail Store,3000,759,2277000,7664,2269336
TXN-4256,7/1/2024,Dangote,Household,Enugu,Ecom,137,709,97133,5841,91292
TXN-8832,5/25/2024,Coca Cola,Toiletry,Port Harcourt,Ecom,1000,953,953000,2563,950437
TXN-5659,3/23/2024,Dangote,Toiletry,Abuja,Wholesaler,277,536,148472,1125,147347
TXN-4110,8/25/2024,Reckit,Beverage,Kano,Online,0,979,0,3589,-3589
TXN-8138,3/24/2024,Nestlee,Dairy,Ibadan,Retail Store,1000,950,950000,1000,949000
TXN-5527,4/29/2024,Dangote,Toiletry,Abuja,Ecom,3000,294,882000,3000,879000
TXN-6700,10/9/2024,Indommee,Toiletry,Enugu,Online,2000,548,1096000,6675,1089325
TXN-704,8/10/2024,Indommee,Dairy,Benin City,Retail Store,0,875,0,5845,-5845
TXN-7468,10/4/2024,Indommee,Household,Abuja,Distributor,3000,384,1152000,2000,1150000
TXN-2143,6/30/2024,Colgate,Toiletry,Benin City,Retail Store,93,880,81840,2000,79840
TXN-4960,9/26/2024,Reckit,Dairy,Port Harcourt,Wholesaler,44,734,32296,6772,25524
TXN-6786,3/20/2024,P&G,Toiletry,Jos,Ecom,2000,896,1792000,1000,1791000
TXN-5215,1/9/2024,Reckit,Toiletry,Port Harcourt,Retail Store,50,390,19500,1000,18500
TXN-220,2/11/2024,Coca Cola,Toiletry,Benin City,Retail Store,1000,509,509000,1000,508000
TXN-5144,4/4/2024,Dangote,Grocery,Jos,Distributor,285,422,120270,2000,118270
TXN-9721,10/11/2024,Indommee,Beverage,Abuja,Wholesaler,224,529,118496,709,117787
TXN-2381,8/25/2024,Indommee,Snack,Lagos,Retail Store,3000,812,2436000,5050,2430950
TXN-6967,11/12/2024,Nestlee,Snack,Benin City,Online,258,704,181632,559,181073
TXN-8395,12/8/2024,Pepsico,Beverage,Jos,Retail Store,0,389,0,2000,-2000
TXN-3109,5/20/2024,Reckit,Grocery,Kano,Online,151,905,136655,6616,130039
TXN-5688,1/25/2024,Coca Cola,Snack,Jos,Retail Store,51,495,25245,3000,22245
TXN-3220,12/22/2024,Reckit,Grocery,Ibadan,Distributor,184,672,123648,1721,121927
TXN-3197,5/5/2024,Nestlee,Toiletry,Jos,Online,3000,579,1737000,2000,1735000
TXN-9827,3/13/2024,Nestlee,Grocery,Lagos,Ecom,2000,159,318000,3000,315000
TXN-3240,7/19/2024,Dangote,Household,Enugu,Wholesaler,121,867,104907,2000,102907
TXN-9747,1/27/2024,Coca Cola,Toiletry,Abuja,Retail Store,94,629,59126,4361,54765
TXN-4459,4/21/2024,Indommee,Dairy,Benin City,Online,13,603,7839,6442,1397
TXN-8349,8/3/2024,Nestlee,Dairy,Jos,Ecom,134,531,71154,3000,68154
TXN-3047,2/10/2024,Pepsico,Dairy,Lagos,Retail Store,1000,106,106000,5641,100359
TXN-274,8/6/2024,Colgate,Beverage,Enugu,Retail Store,152,168,25536,0,25536
TXN-4649,9/1/2024,Unilvr,Personal Care,Benin City,Distributor,298,306,91188,4246,86942
TXN-407,11/17/2024,Colgate,Household,Benin City,Online,3000,866,2598000,2000,2596000
TXN-1351,1/3/2024,Reckit,Snack,Kano,Wholesaler,270,533,143910,0,143910
TXN-3362,4/13/2024,Dangote,Grocery,Kano,Online,2000,357,714000,1292,712708
TXN-4459,11/11/2024,Colgate,Grocery,Lagos,Wholesaler,116,753,87348,1241,86107
TXN-6548,5/29/2024,Indommee,Personal Care,Enugu,Retail Store,2000,410,820000,775,819225
TXN-8348,7/18/2024,Unilvr,Grocery,Abuja,Online,0,912,0,0,0
TXN-405,9/15/2024,Colgate,Snack,Enugu,Online,2000,111,222000,2261,219739
TXN-7031,3/17/2024,Colgate,Household,Benin City,Ecom,1000,642,642000,1012,640988
TXN-7558,10/3/2024,P&G,Personal Care,Benin City,Online,2000,897,1794000,0,1794000
TXN-5018,2/6/2024,Coca Cola,Household,Lagos,Retail Store,3000,698,2094000,1000,2093000
TXN-3449,7/10/2024,P&G,Dairy,Jos,Online,3000,315,945000,0,945000
TXN-6510,9/15/2024,Pepsico,Household,Jos,Online,230,781,179630,892,178738
TXN-6937,5/26/2024,Dangote,Toiletry,Ibadan,Wholesaler,1000,572,572000,7177,564823
TXN-3992,6/22/2024,Pepsico,Grocery,Kano,Ecom,0,152,0,3000,-3000
TXN-6516,10/29/2024,Coca Cola,Toiletry,Enugu,Retail Store,0,607,0,2840,-2840
TXN-910,11/28/2024,Reckit,Household,Benin City,Online,1000,265,265000,0,265000
TXN-9871,12/14/2024,Pepsico,Beverage,Lagos,Online,2000,514,1028000,0,1028000
TXN-1853,12/15/2024,Coca Cola,Dairy,Abuja,Distributor,70,467,32690,2928,29762
TXN-9865,10/31/2024,Colgate,Grocery,Kano,Distributor,0,690,0,3287,-3287
TXN-3056,4/9/2024,Colgate,Snack,Enugu,Retail Store,3000,618,1854000,7602,1846398
TXN-2074,1/9/2024,Nestlee,Toiletry,Ibadan,Retail Store,13,931,12103,2777,9326
TXN-4940,6/10/2024,Coca Cola,Beverage,Kano,Online,3000,214,642000,1000,641000
TXN-9761,5/14/2024,Reckit,Dairy,Jos,Online,3000,686,2058000,2000,2056000
TXN-7596,10/13/2024,Reckit,Household,Abuja,Retail Store,0,182,0,1069,-1069
TXN-4402,8/4/2024,Dangote,Snack,Port Harcourt,Online,2000,561,1122000,2000,1120000
TXN-6924,3/10/2024,Nestlee,Dairy,Port Harcourt,Ecom,2000,250,500000,621,499379
TXN-5525,5/14/2024,Reckit,Personal Care,Abuja,Wholesaler,128,573,73344,3506,69838
TXN-2236,10/31/2024,Dangote,Beverage,Ibadan,Online,249,741,184509,3000,181509
TXN-6624,7/18/2024,Dangote,Beverage,Kano,Online,3000,517,1551000,548,1550452
TXN-9999,10/15/2024,P&G,Dairy,Enugu,Retail Store,3000,516,1548000,3000,1545000
TXN-360,5/8/2024,Pepsico,Beverage,Abuja,Retail Store,3000,369,1107000,0,1107000
TXN-8165,6/14/2024,Coca Cola,Beverage,Benin City,Retail Store,3000,860,2580000,3000,2577000
TXN-7453,10/19/2024,Colgate,Toiletry,Jos,Distributor,2000,304,608000,2121,605879
TXN-7730,2/17/2024,P&G,Personal Care,Kano,Ecom,2000,551,1102000,0,1102000
TXN-3671,3/25/2024,Nestlee,Beverage,Jos,Retail Store,74,459,33966,7484,26482
TXN-7694,8/31/2024,Coca Cola,Toiletry,Enugu,Retail Store,235,508,119380,2000,117380
TXN-1507,1/24/2024,Colgate,Toiletry,Ibadan,Online,15,962,14430,3000,11430
TXN-8427,11/10/2024,Unilvr,Personal Care,Kano,Wholesaler,26,535,13910,7725,6185
TXN-3499,3/22/2024,Unilvr,Dairy,Abuja,Distributor,2000,197,394000,0,394000
TXN-1525,8/24/2024,Colgate,Beverage,Port Harcourt,Wholesaler,68,818,55624,1000,54624
TXN-3673,2/14/2024,Pepsico,Household,Lagos,Online,3000,935,2805000,3000,2802000
TXN-7579,10/25/2024,Indommee,Personal Care,Lagos,Online,142,252,35784,2655,33129
TXN-2060,11/4/2024,Indommee,Toiletry,Abuja,Distributor,3000,1000,3000000,1740,2998260
TXN-5821,8/12/2024,Pepsico,Grocery,Ibadan,Ecom,1000,766,766000,1000,765000
TXN-6755,6/25/2024,Indommee,Grocery,Ibadan,Distributor,1000,383,383000,3000,380000
TXN-1836,7/14/2024,Colgate,Dairy,Abuja,Wholesaler,0,224,0,1000,-1000
TXN-8517,6/8/2024,Indommee,Snack,Benin City,Retail Store,3000,759,2277000,3682,2273318
TXN-465,3/9/2024,Unilvr,Grocery,Port Harcourt,Retail Store,2000,420,840000,2000,838000
TXN-8810,2/12/2024,Coca Cola,Toiletry,Jos,Retail Store,231,461,106491,2000,104491
TXN-8177,2/17/2024,P&G,Grocery,Enugu,Retail Store,298,128,38144,1346,36798
TXN-4521,3/28/2024,Reckit,Grocery,Enugu,Distributor,160,494,79040,3529,75511
TXN-5100,7/9/2024,Coca Cola,Dairy,Enugu,Distributor,76,589,44764,1020,43744
TXN-9037,8/31/2024,Nestlee,Grocery,Abuja,Retail Store,2000,650,1300000,3757,1296243
TXN-4960,7/23/2024,Coca Cola,Toiletry,Benin City,Retail Store,125,560,70000,2715,67285
TXN-2536,3/28/2024,Indommee,Beverage,Abuja,Online,2000,315,630000,2000,628000
TXN-4550,5/12/2024,Unilvr,Personal Care,Jos,Distributor,229,666,152514,0,152514
TXN-2761,2/14/2024,Coca Cola,Snack,Enugu,Online,148,573,84804,7076,77728
TXN-2451,7/13/2024,Coca Cola,Beverage,Port Harcourt,Online,3000,833,2499000,3000,2496000
TXN-3307,5/29/2024,Dangote,Dairy,Abuja,Online,1000,780,780000,2786,777214
TXN-3370,8/28/2024,Nestlee,Beverage,Port Harcourt,Wholesaler,3000,567,1701000,7121,1693879
TXN-8756,3/20/2024,Coca Cola,Toiletry,Jos,Distributor,208,172,35776,924,34852
TXN-1754,8/17/2024,Coca Cola,Beverage,Abuja,Retail Store,137,132,18084,806,17278
TXN-33,1/14/2024,Indommee,Grocery,Abuja,Online,3000,755,2265000,1668,2263332
TXN-7784,9/6/2024,Colgate,Dairy,Enugu,Online,2000,276,552000,0,552000
TXN-4581,12/5/2024,P&G,Personal Care,Abuja,Online,2000,131,262000,0,262000
TXN-9683,7/19/2024,Reckit,Grocery,Lagos,Wholesaler,203,859,174377,1000,173377
TXN-6373,6/11/2024,Unilvr,Dairy,Port Harcourt,Wholesaler,89,983,87487,2000,85487
TXN-2085,4/1/2024,P&G,Beverage,Jos,Online,97,857,83129,1625,81504
TXN-1742,4/27/2024,Colgate,Beverage,Kano,Distributor,0,135,0,6393,-6393
TXN-8632,3/7/2024,Dangote,Personal Care,Lagos,Ecom,1000,458,458000,3642,454358
TXN-5513,8/27/2024,Colgate,Toiletry,Port Harcourt,Distributor,43,442,19006,1000,18006
TXN-7605,8/27/2024,Dangote,Beverage,Enugu,Wholesaler,276,642,177192,3000,174192
TXN-81,4/16/2024,Indommee,Household,Port Harcourt,Ecom,0,956,0,3000,-3000
TXN-862,3/31/2024,P&G,Beverage,Benin City,Retail Store,119,427,50813,1465,49348
TXN-7075,3/24/2024,Unilvr,Snack,Abuja,Online,49,485,23765,6433,17332
TXN-7420,2/11/2024,P&G,Dairy,Port Harcourt,Online,236,595,140420,4212,136208
TXN-5513,8/9/2024,Unilvr,Grocery,Port Harcourt,Retail Store,229,232,53128,5726,47402
TXN-9504,9/18/2024,Nestlee,Snack,Enugu,Ecom,49,634,31066,5142,25924
TXN-6156,2/6/2024,Unilvr,Dairy,Abuja,Retail Store,0,725,0,3000,-3000
TXN-3700,12/17/2024,Unilvr,Toiletry,Enugu,Online,85,373,31705,3000,28705
TXN-4140,4/24/2024,Nestlee,Snack,Benin City,Distributor,261,661,172521,3000,169521
TXN-8729,7/8/2024,Unilvr,Beverage,Benin City,Online,1000,993,993000,2000,991000
TXN-5538,9/11/2024,Coca Cola,Snack,Ibadan,Ecom,1000,778,778000,3000,775000
TXN-4024,2/12/2024,Indommee,Snack,Kano,Wholesaler,0,640,0,4793,-4793
TXN-9920,11/6/2024,Reckit,Beverage,Jos,Ecom,3000,301,903000,0,903000
TXN-7107,9/16/2024,P&G,Personal Care,Jos,Distributor,227,400,90800,2823,87977
TXN-8848,9/28/2024,Dangote,Toiletry,Abuja,Wholesaler,2000,544,1088000,2560,1085440
TXN-9894,1/31/2024,P&G,Personal Care,Enugu,Retail Store,2000,205,410000,0,410000
TXN-6484,7/14/2024,Reckit,Personal Care,Port Harcourt,Wholesaler,0,834,0,0,0
TXN-7286,2/9/2024,Indommee,Snack,Kano,Distributor,23,352,8096,4043,4053
TXN-9120,10/27/2024,Colgate,Toiletry,Lagos,Online,0,475,0,0,0
TXN-1894,10/21/2024,Coca Cola,Beverage,Lagos,Online,292,543,158556,7559,150997
TXN-1591,10/24/2024,Coca Cola,Beverage,Ibadan,Online,3000,418,1254000,4849,1249151
TXN-9202,10/10/2024,Dangote,Beverage,Jos,Online,0,713,0,578,-578
TXN-5766,3/9/2024,Nestlee,Dairy,Kano,Retail Store,59,546,32214,1000,31214
TXN-2251,10/6/2024,Dangote,Household,Lagos,Online,0,343,0,2000,-2000
TXN-8897,5/28/2024,Colgate,Toiletry,Benin City,Online,154,710,109340,3000,106340
TXN-5799,9/1/2024,Colgate,Grocery,Abuja,Wholesaler,247,796,196612,0,196612
TXN-4262,4/26/2024,Dangote,Toiletry,Jos,Distributor,51,172,8772,1273,7499
TXN-8222,5/29/2024,Colgate,Grocery,Enugu,Wholesaler,127,717,91059,3275,87784
TXN-4191,12/27/2024,Indommee,Dairy,Abuja,Ecom,294,913,268422,6606,261816
TXN-9318,1/29/2024,Unilvr,Dairy,Port Harcourt,Retail Store,2000,689,1378000,2000,1376000
TXN-9050,1/4/2024,Dangote,Household,Benin City,Retail Store,287,357,102459,5992,96467
TXN-371,6/19/2024,Nestlee,Snack,Ibadan,Ecom,2000,108,216000,7508,208492
TXN-1385,7/27/2024,Indommee,Grocery,Jos,Online,2000,263,526000,5036,520964
TXN-2311,8/21/2024,Colgate,Grocery,Abuja,Online,50,869,43450,2000,41450
TXN-7477,6/27/2024,Coca Cola,Beverage,Ibadan,Online,2000,455,910000,6515,903485
TXN-8854,1/7/2024,Coca Cola,Snack,Enugu,Online,235,366,86010,3000,83010
TXN-1267,4/4/2024,P&G,Household,Enugu,Retail Store,171,491,83961,4469,79492
TXN-2404,5/19/2024,Nestlee,Beverage,Port Harcourt,Retail Store,0,940,0,3000,-3000
TXN-306,10/28/2024,Indommee,Household,Lagos,Online,214,793,169702,0,169702
TXN-5022,12/24/2024,Colgate,Grocery,Kano,Wholesaler,240,798,191520,6473,185047
TXN-5222,5/7/2024,Indommee,Beverage,Abuja,Ecom,62,343,21266,3000,18266
TXN-4232,4/8/2024,Reckit,Household,Ibadan,Wholesaler,127,521,66167,5664,60503
TXN-6045,8/21/2024,Coca Cola,Beverage,Abuja,Retail Store,3000,213,639000,2000,637000
TXN-7879,7/13/2024,Indommee,Grocery,Port Harcourt,Online,49,589,28861,1000,27861
TXN-2855,10/1/2024,Dangote,Dairy,Abuja,Retail Store,0,703,0,7613,-7613
TXN-8376,9/16/2024,Coca Cola,Snack,Benin City,Distributor,3000,303,909000,3773,905227
TXN-5634,12/28/2024,Indommee,Toiletry,Port Harcourt,Retail Store,3000,635,1905000,3304,1901696
TXN-2520,11/23/2024,Dangote,Personal Care,Enugu,Online,271,240,65040,2000,63040
TXN-2257,5/12/2024,Indommee,Snack,Jos,Distributor,1000,485,485000,2000,483000
TXN-6500,10/22/2024,Dangote,Personal Care,Lagos,Online,8,594,4752,6796,-2044
TXN-3403,1/23/2024,Dangote,Beverage,Benin City,Distributor,215,219,47085,0,47085
TXN-2271,2/24/2024,Unilvr,Snack,Port Harcourt,Distributor,135,770,103950,0,103950
TXN-3755,2/17/2024,Indommee,Household,Port Harcourt,Online,2000,225,450000,2825,447175
TXN-7281,9/14/2024,Dangote,Beverage,Kano,Retail Store,2000,234,468000,5268,462732
TXN-7844,3/17/2024,Dangote,Personal Care,Ibadan,Ecom,1000,965,965000,1359,963641
TXN-3778,7/7/2024,Reckit,Toiletry,Lagos,Online,25,339,8475,7884,591
TXN-2172,6/16/2024,Reckit,Toiletry,Abuja,Distributor,37,607,22459,1000,21459
TXN-8128,2/29/2024,Coca Cola,Snack,Ibadan,Online,0,282,0,0,0
TXN-3860,3/25/2024,P&G,Beverage,Ibadan,Distributor,105,648,68040,3065,64975
TXN-4770,7/10/2024,Nestlee,Toiletry,Ibadan,Online,24,144,3456,0,3456
TXN-3723,10/15/2024,Nestlee,Dairy,Ibadan,Ecom,152,397,60344,1000,59344
TXN-1017,10/16/2024,Coca Cola,Personal Care,Jos,Online,257,331,85067,3000,82067
TXN-3596,6/7/2024,Nestlee,Grocery,Benin City,Distributor,78,322,25116,0,25116
TXN-4757,4/21/2024,P&G,Dairy,Lagos,Online,149,968,144232,4883,139349
TXN-4676,8/12/2024,Colgate,Snack,Ibadan,Ecom,3000,348,1044000,2393,1041607
TXN-6494,6/19/2024,Nestlee,Snack,Jos,Online,177,515,91155,2703,88452
TXN-7669,12/12/2024,Indommee,Toiletry,Abuja,Ecom,1000,851,851000,4024,846976
TXN-9276,7/4/2024,Unilvr,Household,Kano,Distributor,1000,361,361000,3796,357204
TXN-4246,6/7/2024,Dangote,Household,Abuja,Online,3000,920,2760000,5836,2754164
TXN-3175,2/20/2024,Colgate,Household,Port Harcourt,Distributor,4,474,1896,1377,519
TXN-5523,6/11/2024,Colgate,Household,Enugu,Online,2000,155,310000,1000,309000
TXN-84,3/15/2024,Nestlee,Toiletry,Benin City,Distributor,151,182,27482,971,26511
TXN-3540,8/23/2024,Nestlee,Personal Care,Ibadan,Online,218,917,199906,2000,197906
TXN-1207,10/31/2024,Colgate,Snack,Kano,Online,161,467,75187,0,75187
TXN-6904,12/17/2024,Pepsico,Toiletry,Benin City,Ecom,13,315,4095,1776,2319
TXN-792,7/20/2024,Indommee,Toiletry,Kano,Retail Store,110,228,25080,1000,24080
TXN-2031,3/20/2024,Coca Cola,Household,Ibadan,Ecom,1000,757,757000,7850,749150
TXN-3254,4/23/2024,Indommee,Snack,Lagos,Retail Store,210,696,146160,3000,143160
TXN-2828,5/10/2024,Colgate,Household,Jos,Retail Store,3000,592,1776000,5779,1770221
TXN-9754,11/20/2024,Colgate,Household,Lagos,Distributor,2000,648,1296000,6733,1289267
TXN-1350,4/22/2024,Coca Cola,Personal Care,Ibadan,Retail Store,19,875,16625,3906,12719
TXN-4644,4/23/2024,P&G,Beverage,Jos,Wholesaler,51,405,20655,2820,17835
TXN-4044,2/21/2024,Pepsico,Beverage,Kano,Wholesaler,2000,194,388000,0,388000
TXN-2305,1/15/2024,Colgate,Toiletry,Lagos,Wholesaler,2000,864,1728000,3000,1725000
TXN-5030,4/30/2024,Nestlee,Toiletry,Port Harcourt,Online,3000,241,723000,3000,720000
TXN-1877,9/6/2024,Reckit,Personal Care,Lagos,Wholesaler,0,384,0,6070,-6070
TXN-7692,7/18/2024,Dangote,Dairy,Lagos,Wholesaler,293,822,240846,3000,237846
TXN-8804,2/26/2024,Unilvr,Grocery,Lagos,Online,2000,912,1824000,3983,1820017
TXN-2587,9/5/2024,Coca Cola,Toiletry,Enugu,Retail Store,28,922,25816,1000,24816
TXN-4973,7/31/2024,Nestlee,Snack,Enugu,Retail Store,3000,734,2202000,7276,2194724
TXN-3324,9/12/2024,P&G,Grocery,Ibadan,Wholesaler,101,178,17978,5404,12574
TXN-7900,12/25/2024,Reckit,Dairy,Enugu,Ecom,283,497,140651,2000,138651
TXN-7682,1/23/2024,Reckit,Grocery,Kano,Retail Store,30,134,4020,6003,-1983
TXN-220,8/13/2024,Unilvr,Household,Kano,Ecom,1000,422,422000,0,422000
TXN-6715,5/13/2024,Dangote,Household,Lagos,Online,127,618,78486,1934,76552
TXN-7494,12/9/2024,Unilvr,Grocery,Port Harcourt,Online,1000,455,455000,2000,453000
TXN-3599,2/29/2024,Reckit,Personal Care,Port Harcourt,Wholesaler,3000,290,870000,3290,866710
TXN-9521,12/8/2024,Coca Cola,Dairy,Port Harcourt,Online,200,794,158800,5447,153353
TXN-9806,3/16/2024,Nestlee,Dairy,Benin City,Online,155,647,100285,0,100285
TXN-4357,12/26/2024,Indommee,Dairy,Lagos,Wholesaler,0,204,0,3868,-3868
TXN-8158,2/11/2024,Nestlee,Beverage,Abuja,Online,185,376,69560,4873,64687
TXN-2181,8/25/2024,P&G,Grocery,Enugu,Retail Store,259,376,97384,847,96537
TXN-6563,4/20/2024,Indommee,Toiletry,Enugu,Retail Store,153,920,140760,2000,138760
TXN-5656,1/27/2024,Dangote,Household,Abuja,Online,2000,579,1158000,2586,1155414
TXN-6937,5/21/2024,Dangote,Snack,Benin City,Wholesaler,1000,598,598000,5914,592086
TXN-8145,8/28/2024,Indommee,Dairy,Jos,Online,2000,738,1476000,3000,1473000
TXN-1079,9/14/2024,Nestlee,Dairy,Abuja,Retail Store,50,303,15150,1671,13479
TXN-3617,7/15/2024,Pepsico,Beverage,Benin City,Ecom,134,888,118992,0,118992
TXN-2458,2/16/2024,Nestlee,Snack,Lagos,Ecom,228,274,62472,0,62472
TXN-3487,10/15/2024,Unilvr,Snack,Lagos,Distributor,30,268,8040,3000,5040
TXN-5644,7/21/2024,Colgate,Beverage,Kano,Online,88,426,37488,3000,34488
TXN-7155,9/11/2024,Colgate,Grocery,Benin City,Ecom,1000,847,847000,1000,846000
TXN-444,2/14/2024,Nestlee,Personal Care,Lagos,Ecom,20,415,8300,3000,5300
TXN-7489,12/22/2024,Reckit,Grocery,Abuja,Wholesaler,0,433,0,1000,-1000
TXN-6274,7/15/2024,Coca Cola,Dairy,Lagos,Wholesaler,0,932,0,3358,-3358
TXN-9250,10/18/2024,Dangote,Dairy,Benin City,Distributor,10,562,5620,1997,3623
TXN-2719,3/19/2024,Dangote,Household,Jos,Online,1000,286,286000,1000,285000
TXN-587,1/3/2024,Nestlee,Beverage,Benin City,Retail Store,98,381,37338,0,37338
TXN-9537,12/30/2024,Indommee,Personal Care,Abuja,Distributor,164,256,41984,1000,40984
TXN-2654,12/5/2024,Unilvr,Snack,Jos,Ecom,1000,644,644000,2000,642000
TXN-47,3/8/2024,Unilvr,Grocery,Benin City,Online,139,489,67971,2000,65971
TXN-9423,9/12/2024,Reckit,Household,Kano,Retail Store,121,793,95953,0,95953
